Number,Description,Short description,Close notes,Full description,group_id,root_cause
INC1696592,Please check on log   when sponsor upgrade foa to abo have change sponsor or not ?notenow upline is,Please check on log   when sponsor upgrade foa to abo have change sponsor or not ?,"200-207231358 is the upgrade order placed by 7017624477 on Dec 03, 2023 12:31:46 PM
As checked in BOSS we can see user sponsor is 2214008.

Analysis :

When 7017624477 registered as FOA on 06/26/2023 the sponsor was : 2214008
and while upgrading the user on 03/12/2023 has selected the sponsor as 7018950235 and the same has been updated to MLOS and we can see the success message also from los

Logs :-

2023-11-03 12:32:06.763INFO [TaskExecutor-master-91568-ProcessTask [85304049304502]] [LynxSponsorUpdateAction] [] Identified current sponsor for Order : 200-207231358 and ABO : 7017624477 is different from Referral ABO : 7018950235 . Calling MLOS API to Update Sponsor.

2023-11-03 12:32:06.764INFO [TaskExecutor-master-91568-ProcessTask [85304049304502]] [LynxSponsorUpdateServiceImpl] [] MASHERY TOKEN call : Change Sponsor to 7018950235 for ABO : 7017624477:: Initiated

2023-11-03 12:32:07.576INFO [TaskExecutor-master-91568-ProcessTask [85304049304502]] [LynxSponsorUpdateServiceImpl] [] MLOS Call : Change Sponsor to 7018950235 for ABO : 7017624477:: success with message : Sponsor Change: Success


Now the sponsor has again changed back to the old ADA 2214008 as this is a known issue and is a implementation gap between hybris, MDMS and MLos and this is similar to INC1573452,INC1688664. Business already know this and it is a new requirement and please find the email from @Phongsiri Wongammarukhachok attached.

Closing this case as discussed with @[Phongsiri Wongammarukhachok] .

",Please check on log   when sponsor upgrade foa to abo have change sponsor or not ?notenow upline is-Please check on log   when sponsor upgrade foa to abo have change sponsor or not ?,0,Order Management Issues
INC1640159,"Account#  V TH HOARegistration date:  :: PM Member to ABO:  :: PMSA88 completed on:  :: AMSignature completed on:  :: PMBTC Training: not yetOrder#: Order date: Aug ,  ::Auto renew date:   :: PM Delete for missing info:  :: AM If ABO didn't complete all missing info, how can this ABO place order on Aug 31st,  and got renew in same day?Pls help to check this issue and fix it urgently because this is legal riskPls help to check how many similar cases?",ABO can place order even though she didn't complete all missing info,"
As all the workaround is applied, we would like to mark the Incident as resolved.
WE would like to request you to please track PRB for progress.","Account#  V TH HOARegistration date:  :: PM Member to ABO:  :: PMSA88 completed on:  :: AMSignature completed on:  :: PMBTC Training: not yetOrder#: Order date: Aug ,  ::Auto renew date:   :: PM Delete for missing info:  :: AM If ABO didn't complete all missing info, how can this ABO place order on Aug 31st,  and got renew in same day?Pls help to check this issue and fix it urgently because this is legal riskPls help to check how many similar cases?-ABO can place order even though she didn't complete all missing info",1,Order Management Issues
INC1688966,processed GRN but complete items not reflect in POS system.,Order No  processed GRN but complete items not reflect in POS system.,"No update received from caller.
Also order is in returned state no issues found.
Please connect on teams if any issue still persists.",processed GRN but complete items not reflect in POS system.-Order No  processed GRN but complete items not reflect in POS system.,2,Order Management Issues
INC1683225,Report  :  India_Hybris_MAGIC_PVBV_Reconciliation_Errors,[DATA RECON][IN][  order]  Missing  PV BV in Magic,"Points has been updated now, kindly verify.",Report  :  India_Hybris_MAGIC_PVBV_Reconciliation_Errors-[DATA RECON][IN][  order]  Missing  PV BV in Magic,3,Order Management Issues
INC1647311,HYBS_Order_NumberHYBS_Order_PV.HYBS_Order_BVHYBS_Order_StatusCANCELLEDHYBS_Payment_StatusPAIDMagic_Order_PV.Magic_Order_BV,[DATA RECON][MY][ Order] PV BV Mismatch,"We have checked and have found that the amount of PV/BV from Hybris is sent correctly, the same can be confirmed on frontend as well as below attached ORDER_CONFIRMED event.
Also, we found that this EPP order stands cancelled and hence the revert of the PV/BV amount is also done successfully, 

Caller confirmed to close the incident.",HYBS_Order_NumberHYBS_Order_PV.HYBS_Order_BVHYBS_Order_StatusCANCELLEDHYBS_Payment_StatusPAIDMagic_Order_PV.Magic_Order_BV-[DATA RECON][MY][ Order] PV BV Mismatch,3,Order Management Issues
INC1652801,HYBS_Order_Number,[DATA RECON][MY][ Orders] Side2 not Exist - Missing in Magic,"As checked, all the above-mentioned orders are in CANCELLED status.

10033278240-As per current functionality, if payment is done using incentive Voucher for any order, pv/bv will not credited.

This order was partially pad using voucher due to which no pv/bv was credited for this order.
",HYBS_Order_Number-[DATA RECON][MY][ Orders] Side2 not Exist - Missing in Magic,3,Order Management Issues
INC1678500,HYBS_Order_PV HYBS_Order_BVMagic_Order_PV Magic_Order_BV,[DATA RECON][IN][ order]  PV BV value mismatch,"As checked, is a cancelled order.
 Hence, PV/BV were reversed and showing 0 in Magic.
Please feel free to raise new incident or connect on teams in case of any issue.",HYBS_Order_PV HYBS_Order_BVMagic_Order_PV Magic_Order_BV-[DATA RECON][IN][ order]  PV BV value mismatch,3,Order Management Issues
INC1670287,HYBS_Order_NumberHYBS_Order_PV.HYBS_Order_BV.Magic_Order_PVMagic_Order_BV,[DATA RECON][NZ][ Order] PV BV Value Mismatch,"The order is now cancelled in Hybris.
Hence all the PV/BV has been successfully reverted.
Closing this ticket after confirmation from you over MS TEAMS.
Do reach out to us in case of any queries.",HYBS_Order_NumberHYBS_Order_PV.HYBS_Order_BV.Magic_Order_PVMagic_Order_BV-[DATA RECON][NZ][ Order] PV BV Value Mismatch,3,Order Management Issues
INC1669376,HYBS_Order_NumberHYBS_Order_PVHYBS_Order_BVMagic_Order_PV Magic_Order_BV,[DATA RECON][MY][ Order] PV BV Value Mismatch,"Reported order: 10034171438 is in Cancelled state.
pvbv credited is reverted in this case. So, pvbv is showing as zero.

No action taken from Hybris.
Caller confirmed to close the incident.",HYBS_Order_NumberHYBS_Order_PVHYBS_Order_BVMagic_Order_PV Magic_Order_BV-[DATA RECON][MY][ Order] PV BV Value Mismatch,3,Order Management Issues
INC1691159,India_Hybris_MAGIC_PVBV_Reconciliation_Errors,[DATA RECON]IN][ order] PV BV missing in Magic,Order has been repushed and points are updated  please verify the same.,India_Hybris_MAGIC_PVBV_Reconciliation_Errors-[DATA RECON]IN][ order] PV BV missing in Magic,3,Order Management Issues
